asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery
B0CN1QSH8Q,"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",$199.99 ,,USD,4.4,1772,https://www.amazon.com/dp/B0CN1QSH8Q,https://m.media-amazon.com/images/I/61s0ZzwzSCL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$199.99 ,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B0BLZN9NDG,"SAMSUNG,Galaxy A04e (SM-A042M/DS) Dual SIM 32GB,6.5&#x27;&#x27; GSM Unlocked,International Version-Black",$94.95 ,$105.00 ,USD,4.1,165,https://www.amazon.com/dp/B0BLZN9NDG,https://m.media-amazon.com/images/I/71O2YkTlq-L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$94.95 ,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B08VLMQ3KS,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",$210.75 ,$417.99 ,USD,3.9,3664,https://www.amazon.com/dp/B08VLMQ3KS,https://m.media-amazon.com/images/I/61jYjeuNUnL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$210.75 ,FALSE,FALSE,FALSE,TRUE,3K+ bought in past month,"FREE delivery Wed, Mar 20 Only 7 left in stock - order soon."
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",$98.20 ,$119.99 ,USD,3.8,939,https://www.amazon.com/dp/B09T3MQSVP,https://m.media-amazon.com/images/I/61xhaqnlKPL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$98.20 ,FALSE,FALSE,FALSE,TRUE,2K+ bought in past month,"FREE delivery Wed, Mar 20"
B09XP9FX25,"Samsung Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black (Renewed)",$169.99 ,$382.99 ,USD,3.9,232,https://www.amazon.com/dp/B09XP9FX25,https://m.media-amazon.com/images/I/61uAwNHHgaL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$169.99 ,FALSE,FALSE,TRUE,TRUE,500+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B07ZPKBL9V,"Apple iPhone 11, 64GB, (PRODUCT)RED - Fully Unlocked (Renewed)",$225.77 ,$246.11 ,USD,4.3,47973,https://www.amazon.com/dp/B07ZPKBL9V,https://m.media-amazon.com/images/I/510Fpe16MoL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$225.77 ,FALSE,FALSE,FALSE,TRUE,1K+ bought in past month,FREE delivery Mar 20 - 22
B08Y7ZQQ81,"Samsung Galaxy S20 FE 5G (128GB, 6GB) 6.5&quot; AMOLED, Snapdragon 865, IP68 Water Resistant, 5G Volte Fully Unlocked (T-Mobile, Verizon, Sprint, AT&amp;T) G781U (Cloud Navy)(Renewed)",$175.66 ,$285.99 ,USD,4,1250,https://www.amazon.com/dp/B08Y7ZQQ81,https://m.media-amazon.com/images/I/61WeLSi+UiL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$175.66 ,FALSE,FALSE,FALSE,TRUE,1K+ bought in past month,"FREE delivery Fri, Mar 22 Or fastest delivery Tue, Mar 19 Only 1 left in stock - order soon."
B0BXV2XKVF,SAMSUNG Galaxy A14 4G LTE (128GB + 4GB) Unlocked Worldwide (Only T-Mobile/Mint/Metro USA Market) 6.6&quot; 50MP Triple Camera + (15W Wall Charger) (Silver (SM-A145M/DS)),$165.00 ,,USD,4.3,395,https://www.amazon.com/dp/B0BXV2XKVF,https://m.media-amazon.com/images/I/717yeZFskGL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$165.00 ,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B096T6Y623,"SAMSUNG Galaxy S21 Ultra G998U 5G | Fully Unlocked Android Smartphone | US Version | Pro-Grade Camera, 8K Video, 108MP High Resolution | 128GB - Phantom Black (Renewed)",$342.58 ,,USD,4,1508,https://www.amazon.com/dp/B096T6Y623,https://m.media-amazon.com/images/I/61dlAm9BpqL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$342.58 ,FALSE,FALSE,FALSE,TRUE,1K+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Tue, Mar 19 Only 20 left in stock - order soon."
B08HQZC2XK,Samsung Electronics Galaxy Note 20 5G Unlocked Android Cell Phone | US Version | 128GB of Storage | Mobile Gaming Smartphone | Long-Lasting Battery | Mystic Gray (Renewed),$244.00 ,$259.00 ,USD,4.1,1798,https://www.amazon.com/dp/B08HQZC2XK,https://m.media-amazon.com/images/I/61FHIXy334L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$244.00 ,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,"FREE delivery Wed, Mar 20 Only 6 left in stock - order soon."
